candidate_id,candidate_type,valid_year,weights,raw_prediction_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,prediction_std,prediction_mean
A_v2_base,single_model,2022,A_v2_base,0.05695732040268272,0.5289204435249241,0.24916360794632167,0.24894055749927693,0.00022305044704473698,89.51967299044315,0.5322787370048183,0.6910267618039342,0.01099229483839128,0.5115676534729856
A_v2_base,single_model,2023,A_v2_base,0.06210693138078983,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.694287061114121,0.014285022476808469,0.527189297933662
A_v2_base,single_model,2024,A_v2_base,0.06568116174270247,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.6926949806395462,0.00562363776754328,0.48773544324372964
B_tuned_base,single_model,2022,B_tuned_base,0.05695569762845779,0.5289204435249241,0.24916360794632167,0.24888834391306502,0.0002752640332566447,110.47521567272616,0.5346411809377425,0.6909221909682774,0.01126039100174439,0.5115865826680861
B_tuned_base,single_model,2023,B_tuned_base,0.06187211218815102,0.49995723449750534,0.24999999817111176,0.25058899170083243,-0.0005889935297206661,0.0,0.5144933886451043,0.6943292738145721,0.014461256019859123,0.5271032839294943
B_tuned_base,single_model,2024,B_tuned_base,0.06522124612455571,0.4861049201797189,0.24980692675678798,0.24976121242258448,4.571433420350046e-05,18.29986653973288,0.5119924660360401,0.6926693964967449,0.005604471972785496,0.4877362522109691
C_stable_reconstructed_A_recent_vs_longterm_v2_params,single_model,2022,C_stable_reconstructed_A_recent_vs_longterm_v2_params,0.057206845208740094,0.5289204435249241,0.24916360794632167,0.2489297807471689,0.00023382719915276962,93.84484398826973,0.532534695750702,0.6910051570376159,0.011117475127045928,0.5115999966112553
C_stable_reconstructed_A_recent_vs_longterm_v2_params,single_model,2023,C_stable_reconstructed_A_recent_vs_longterm_v2_params,0.06186213105274803,0.49995723449750534,0.24999999817111176,0.2505524033282932,-0.0005524051571814403,0.0,0.5159910223245899,0.6942558178322122,0.01439821992901953,0.527208334180288
C_stable_reconstructed_A_recent_vs_longterm_v2_params,single_model,2024,C_stable_reconstructed_A_recent_vs_longterm_v2_params,0.06503239998921158,0.4861049201797189,0.24980692675678798,0.24976998307666642,3.694368012155391e-05,14.78889340707605,0.5107338622335149,0.6926869427740556,0.005664631229929582,0.4877351358970861
D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,single_model,2022,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,0.0576865476161177,0.5289204435249241,0.24916360794632167,0.24885852990207563,0.0003050780442460377,122.44085192078367,0.5358209303340677,0.6908624892466999,0.011457179973486479,0.5115847303750971
D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,single_model,2023,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,0.06127496129576919,0.49995723449750534,0.24999999817111176,0.250573402087554,-0.0005734039164422555,0.0,0.5154105549686989,0.6942979689597459,0.014420885042770134,0.5272988696309633
D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,single_model,2024,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,0.06475143119125693,0.4861049201797189,0.24980692675678798,0.24976168343880747,4.5243317980503406e-05,18.11131443306706,0.5119081229141909,0.6926703314063566,0.005799513105163276,0.4877336938046102
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,2022,A_v2_base:0.000;B_tuned_base:1.000,0.05695558255330754,0.5289204435249241,0.24916360794632167,0.24888834391306502,0.0002752640332566447,110.47521567272616,0.5346411809377425,0.6909221909682774,0.01126039100174439,0.5115865826680861
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,2023,A_v2_base:0.000;B_tuned_base:1.000,0.06187198618840519,0.49995723449750534,0.24999999817111176,0.25058899170083243,-0.0005889935297206661,0.0,0.5144933886451043,0.6943292738145721,0.014461256019859123,0.5271032839294943
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,2024,A_v2_base:0.000;B_tuned_base:1.000,0.06522111748646989,0.4861049201797189,0.24980692675678798,0.24976121242258448,4.571433420350046e-05,18.29986653973288,0.5119924660360401,0.6926693964967449,0.005604471972785496,0.4877362522109691
blend2__A_v2_base__0.1__B_tuned_base__0.9,two_model_blend,2022,A_v2_base:0.100;B_tuned_base:0.900,0.056897193368749044,0.5289204435249241,0.24916360794632167,0.24889294878260382,0.00027065916371785126,108.62708480933559,0.5344297939713651,0.6909314131074807,0.011240612180690307,0.5115855879369426
blend2__A_v2_base__0.1__B_tuned_base__0.9,two_model_blend,2023,A_v2_base:0.100;B_tuned_base:0.900,0.06186176646095161,0.49995723449750534,0.24999999817111176,0.25058684859961056,-0.0005868504284987919,0.0,0.5145925325343452,0.694324959433138,0.014446702475483133,0.5271132754581429
blend2__A_v2_base__0.1__B_tuned_base__0.9,two_model_blend,2024,A_v2_base:0.100;B_tuned_base:0.900,0.06522490133220327,0.4861049201797189,0.24980692675678798,0.2497624374524338,4.448930435418941e-05,17.809475874743935,0.5118731364909251,0.6926718477357469,0.005608011510241947,0.4877361399618572
blend2__A_v2_base__0.2__B_tuned_base__0.8,two_model_blend,2022,A_v2_base:0.200;B_tuned_base:0.800,0.056851774226999205,0.5289204435249241,0.24916360794632167,0.2488977015248817,0.00026590642143997645,106.71960629871026,0.5342153017664145,0.6909409314369372,0.011219329412207291,0.5115844016600212
blend2__A_v2_base__0.2__B_tuned_base__0.8,two_model_blend,2023,A_v2_base:0.200;B_tuned_base:0.800,0.061859046027139646,0.49995723449750534,0.24999999817111176,0.2505847247825699,-0.000584726611458114,0.0,0.514668080132693,0.6943206833204957,0.014431430326979047,0.5271228942814639
blend2__A_v2_base__0.2__B_tuned_base__0.8,two_model_blend,2024,A_v2_base:0.200;B_tuned_base:0.800,0.06523809866967846,0.4861049201797189,0.24980692675678798,0.24976367528317908,4.325147360889625e-05,17.313960893889018,0.5117505507253024,0.6926743246143554,0.005611192789979176,0.48773603262612114
blend2__A_v2_base__0.3__B_tuned_base__0.7,two_model_blend,2022,A_v2_base:0.300;B_tuned_base:0.700,0.05681935623128129,0.5289204435249241,0.24916360794632167,0.24890254548935206,0.0002610624569696074,104.77551642527554,0.5339925066984954,0.6909506324781735,0.01119655482632318,0.5115830029617069
blend2__A_v2_base__0.3__B_tuned_base__0.7,two_model_blend,2023,A_v2_base:0.300;B_tuned_base:0.700,0.061863825876303465,0.49995723449750534,0.24999999817111176,0.2505826740292508,-0.000582675858139009,0.0,0.5147511399909972,0.6943165536624933,0.014415476227166525,0.5271322077766989
