candidate_id,candidate_type,weights,mean_auc,mean_brier,worst_skill_margin,overall_auc,overall_brier,overall_skill_margin
blend2__A_v2_base__0.1__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.9,two_model_blend,A_v2_base:0.100;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.900,0.5208854839897524,0.2497339632494762,-0.000572964097841494,0.5203141542303439,0.24973200893513195,0.00024442364171139985
blend2__A_v2_base__0.2__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.8,two_model_blend,A_v2_base:0.200;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.800,0.520749440058372,0.24973673348563488,-0.0005724137451606215,0.520225681132733,0.24973477526947,0.00024165730737335522
blend2__A_v2_base__0.3__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.7,two_model_blend,A_v2_base:0.300;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.700,0.520585032707832,0.2497395512792783,-0.0005718351686230527,0.5201297370107311,0.2497375890323848,0.00023884354445855016
blend2__A_v2_base__0.4__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.6,two_model_blend,A_v2_base:0.400;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.600,0.5204405683396094,0.24974242107133815,-0.0005712436415939159,0.5200467018432835,0.24974045457047042,0.00023597800637292776
blend2__A_v2_base__0.5__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.5,two_model_blend,A_v2_base:0.500;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.500,0.5202700134706522,0.24974533524538692,-0.0005706074541192152,0.5199445356243961,0.2497433644046004,0.00023306817224294507
blend2__A_v2_base__0.6__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.4,two_model_blend,A_v2_base:0.600;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.400,0.5201138303322173,0.24974832995019836,-0.0005700239678183283,0.5198407549247636,0.24974635423545785,0.00023007834138549788
blend2__A_v2_base__0.7__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.3,two_model_blend,A_v2_base:0.700;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.300,0.5199569871039788,0.24975139406263278,-0.0005695031268963258,0.519745420405124,0.24974941293401115,0.0002270196428321991
blend2__A_v2_base__0.8__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.2,two_model_blend,A_v2_base:0.800;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.200,0.5197813190830903,0.24975451353813793,-0.000569023945003605,0.5196438708702371,0.2497525265945021,0.00022390598234126036
blend2__A_v2_base__0.9__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.1,two_model_blend,A_v2_base:0.900;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.100,0.51961145884253,0.24975766412167968,-0.0005685296111663518,0.5195515663478405,0.24975567124602072,0.00022076133082263305
blend2__A_v2_base__1.0__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.0,two_model_blend,A_v2_base:1.000;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.000,0.519445638243487,0.24976086120879418,-0.000568030179884188,0.5194320025498831,0.24975886219038015,0.00021757038646319504
