alpha,feature_set,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_auc,mean_auc_delta,mean_logloss,mean_pred_std,mean_train_seconds
5,context_recent,0.2496492556183005,0.0006983885524846857,0.2501643095999772,2,1.4034712172132183e-05,0.520658230102277,0.0011102062799061747,0.692445756604834,0.008187515280173101,14.32218599319458
20,recent_delta,0.24965858529370502,0.0006816892643425247,0.250159487562154,1,4.705036767610471e-06,0.5196383275268118,9.03037044409638e-05,0.6924644666866892,0.008162394227095634,14.667794466018677
5,baseline,0.24966329033047263,0.0006726763527679289,0.2501588034603313,0,0.0,0.5195480238223708,0.0,0.6924738699684525,0.008082855367933068,14.086910565694174
10,baseline,0.24966329033047263,0.0006726763527679289,0.2501588034603313,0,0.0,0.5195480238223708,0.0,0.6924738699684525,0.008082855367933068,12.56735634803772
20,baseline,0.24966329033047263,0.0006726763527679289,0.2501588034603313,0,0.0,0.5195480238223708,0.0,0.6924738699684525,0.008082855367933068,13.133266925811768
5,recent_20_50_100,0.24966585920527737,0.0006824562771931701,0.2501734084386613,1,-2.5688748047277463e-06,0.5192855129565841,-0.00026251086578673216,0.6924790325453104,0.008115162841882967,17.822417497634888
10,best_candidate,0.24966612632474086,0.0006767815953763882,0.2501689115028214,2,-2.8359942682206394e-06,0.5193553707237688,-0.00019265309860202104,0.6924795650853909,0.008080439292090966,14.567744493484497
5,recent_delta,0.24966653007281794,0.0006759188946099165,0.2501684825831893,1,-3.2397423452938203e-06,0.5193855228707166,-0.00016250095165426526,0.6924803721023555,0.0080818121269553,18.911424954732258
5,recent_50,0.24966914915834929,0.0006779765427209508,0.25017909968616,1,-5.858827876644342e-06,0.519608869117867,6.0845295496214646e-05,0.6924856205414228,0.0080802766258849,19.059892813364666
10,context_recent,0.2496701509204311,0.0006705705979795535,0.2501731184571202,1,-6.860589958459136e-06,0.5194448445616985,-0.00010317926067230736,0.6924876244845534,0.008062790615229668,14.056097745895386
10,recent_20_50_100,0.24967065407512692,0.0006754998426696981,0.2501747445291895,0,-7.363744654283651e-06,0.519058878478959,-0.0004891453434118231,0.6924886098801094,0.008040629652373133,14.028747399648031
20,recent_20,0.24967533793715738,0.0006770538497412957,0.250189719815571,1,-1.20476066847545e-05,0.5192955563716163,-0.0002524674507546158,0.6924980324524316,0.008044229434718234,13.941132386525473
20,recent_50,0.24967716955260108,0.0006689727287917781,0.2501853273887036,1,-1.3879222128421187e-05,0.5190685823494877,-0.0004794414728831464,0.6925016814722039,0.008033395717393902,17.24290068944295
5,best_candidate,0.24968023294425382,0.0006598500595833302,0.2501754040735421,0,-1.694261378119381e-05,0.5184509798349527,-0.001097043987418204,0.6925078235412429,0.007977760615433134,15.24310596783956
10,recent_delta,0.24968166905448172,0.0006663464308374581,0.2501868631184972,1,-1.8378724009060488e-05,0.5185788165471155,-0.0009692072752553645,0.6925107110805716,0.007994128075133666,13.756886959075928
10,recent_50,0.24968462613674794,0.0006640285017376727,0.2501908513202596,1,-2.1335806275316987e-05,0.5186801193402218,-0.0008679044821490178,0.692516641765756,0.008001794718124166,13.731124957402548
5,recent_20,0.24968779901937985,0.0006503149687540904,0.2501813612884068,1,-2.4508688907187715e-05,0.5181279430249637,-0.001420080797407149,0.6925229877573261,0.0079690282061812,15.824464321136475
10,recent_20,0.2496880592487869,0.0006540889878903189,0.2501856813731392,1,-2.4768918314257055e-05,0.5182099210505977,-0.001338102771773153,0.6925235035297618,0.007935691246209934,13.567768335342407
