feature,importance,alpha,feature_set,valid_year
te_pitcher_id__balls_before__strikes_before_delta,11.47615406038289,20,recent_5,2022
te_pitcher_id__batter_hand,1.4875229301530488,20,recent_5,2022
te_pitcher_id__batter_hand_delta,1.6640336955554054,20,recent_5,2022
te_pitcher_id__base_state,6.165997982577465,20,recent_5,2022
te_pitcher_id__base_state_delta,6.4650416299115685,20,recent_5,2022
te_pitcher_id__game_type,5.923867699971275,20,recent_5,2022
te_pitcher_id__game_type_delta,3.8761875641647694,20,recent_5,2022
te_batter_id__pitcher_hand,4.881731768353485,20,recent_5,2022
te_batter_id__pitcher_hand_delta,5.6760098891005,20,recent_5,2022
te_balls_before__strikes_before,0.202827203509297,20,recent_5,2022
te_balls_before__strikes_before_delta,0.2764335793578512,20,recent_5,2022
te_balls_before__strikes_before__game_type,1.2564292119778993,20,recent_5,2022
te_balls_before__strikes_before__game_type_delta,1.1875987019179746,20,recent_5,2022
te_pitcher_hand__batter_hand,0.1243860733462703,20,recent_5,2022
te_pitcher_hand__batter_hand_delta,0.1100649367207184,20,recent_5,2022
te_base_state__outs_before,0.3215693384857714,20,recent_5,2022
te_base_state__outs_before_delta,0.2754488507980036,20,recent_5,2022
asof_pitcher_success_minus_global,1.0404839794021778,20,recent_5,2022
asof_batter_success_minus_global,0.5025126224419516,20,recent_5,2022
pitcher_success_x_two_strike,0.0963459218090993,20,recent_5,2022
pitcher_success_x_runner_on,0.2982778896967698,20,recent_5,2022
pitcher_fastball_x_hitter_count,0.1418756816720016,20,recent_5,2022
season,1.1638661976013165,20,recent_10,2022
game_month,1.0689682213995366,20,recent_10,2022
game_dayofweek,0.109642096002904,20,recent_10,2022
inning,0.1091539734559858,20,recent_10,2022
balls_before,0.41363120161377,20,recent_10,2022
strikes_before,0.1478974927449284,20,recent_10,2022
outs_before,0.1024962793805606,20,recent_10,2022
run_top_before,0.0626738168973928,20,recent_10,2022
run_bot_before,0.0840557845886079,20,recent_10,2022
run_total_before,0.3621085371061571,20,recent_10,2022
score_diff_home,0.1767612116543826,20,recent_10,2022
score_diff_pitcher_team,0.2200215205020737,20,recent_10,2022
runner_on_1b,0.0046472135374659,20,recent_10,2022
runner_on_2b,0.1010435727452368,20,recent_10,2022
runner_on_3b,0.9661149867949762,20,recent_10,2022
num_runners_on,0.1279652000522402,20,recent_10,2022
home_win_expectancy,0.1810596392504873,20,recent_10,2022
away_win_expectancy,0.2200596002192963,20,recent_10,2022
li,0.2219189112655012,20,recent_10,2022
pitcher_hand,0.0564436915395319,20,recent_10,2022
batter_hand,0.03081311119868,20,recent_10,2022
pitcher_team_id,0.0858991452204841,20,recent_10,2022
batter_team_id,0.091964579640624,20,recent_10,2022
asof_pitcher_n,1.298969963144183,20,recent_10,2022
asof_pitcher_success_rate,0.7817143210388604,20,recent_10,2022
asof_pitcher_reverse_rate,0.8047616671199238,20,recent_10,2022
asof_pitcher_middle_rate,0.5238968951524612,20,recent_10,2022
asof_pitcher_ball_rate,0.1659338161587806,20,recent_10,2022
asof_pitcher_strike_rate,0.1884216357829937,20,recent_10,2022
asof_pitcher_prev1_game_success_rate,0.1392746411033637,20,recent_10,2022
asof_pitcher_prev3_game_success_rate,0.18834896626399,20,recent_10,2022
asof_pitcher_prev5_game_success_rate,0.3618320452381522,20,recent_10,2022
asof_pitcher_prev1_game_middle_rate,0.1461133977883138,20,recent_10,2022
asof_pitcher_prev3_game_middle_rate,0.0505288956456021,20,recent_10,2022
asof_pitcher_prev5_game_middle_rate,0.2710888989589657,20,recent_10,2022
asof_batter_n,0.3472563673278354,20,recent_10,2022
asof_batter_success_rate,0.4448990518749531,20,recent_10,2022
asof_batter_middle_rate,0.0519813030984927,20,recent_10,2022
asof_pitcher_pitchmix_n,0.7952783675234261,20,recent_10,2022
asof_pitcher_fastball_rate,0.1983065734996747,20,recent_10,2022
asof_pitcher_breaking_rate,0.1155425804759077,20,recent_10,2022
asof_pitcher_offspeed_rate,0.0496544889130715,20,recent_10,2022
rf_pitcher_recent_10_control_rate,0.1056110691226282,20,recent_10,2022
rf_pitcher_recent_10_n,0.0407886724042943,20,recent_10,2022
top_bottom_code,0.0,20,recent_10,2022
game_type_code,1.6926690770512145,20,recent_10,2022
base_state_code,1.0366886540527096,20,recent_10,2022
pitcher_id_code,0.7131969503762174,20,recent_10,2022
batter_id_code,0.2010181002768168,20,recent_10,2022
count_index,0.6348038952817961,20,recent_10,2022
two_strike,0.0,20,recent_10,2022
three_ball,0.0,20,recent_10,2022
full_count,0.0,20,recent_10,2022
pitcher_count,0.0282372074987022,20,recent_10,2022
hitter_count,0.1361174475377614,20,recent_10,2022
even_count,0.0,20,recent_10,2022
runner_on,0.1427177502726152,20,recent_10,2022
scoring_position,0.6475777795687329,20,recent_10,2022
abs_score_diff_pitcher_team,0.2140337323032825,20,recent_10,2022
pitcher_team_leading,0.0,20,recent_10,2022
pitcher_team_trailing,0.0357021028548007,20,recent_10,2022
late_inning,0.028608862327113,20,recent_10,2022
te_pitcher_id,3.043895831517551,20,recent_10,2022
te_pitcher_id_delta,5.177661994484953,20,recent_10,2022
te_batter_id,0.8330032711437481,20,recent_10,2022
te_batter_id_delta,0.0684932930359031,20,recent_10,2022
te_pitcher_team_id,0.4746443039229565,20,recent_10,2022
te_pitcher_team_id_delta,0.43577650455786,20,recent_10,2022
te_batter_team_id,1.148643468636547,20,recent_10,2022
te_batter_team_id_delta,2.0821351228793468,20,recent_10,2022
te_game_type,0.2586970986876299,20,recent_10,2022
te_game_type_delta,1.2088512958821849,20,recent_10,2022
te_season,0.6072684585878088,20,recent_10,2022
te_season_delta,1.1614479475509174,20,recent_10,2022
te_pitcher_id__balls_before__strikes_before,10.976333735277969,20,recent_10,2022
te_pitcher_id__balls_before__strikes_before_delta,12.064329914945368,20,recent_10,2022
te_pitcher_id__batter_hand,1.627499185834125,20,recent_10,2022
te_pitcher_id__batter_hand_delta,1.6283639939716243,20,recent_10,2022
te_pitcher_id__base_state,6.183791606762575,20,recent_10,2022
te_pitcher_id__base_state_delta,6.422597405573104,20,recent_10,2022
te_pitcher_id__game_type,5.274491709063294,20,recent_10,2022
te_pitcher_id__game_type_delta,4.118127720394176,20,recent_10,2022
te_batter_id__pitcher_hand,4.772830010722195,20,recent_10,2022
te_batter_id__pitcher_hand_delta,5.477000700878223,20,recent_10,2022
te_balls_before__strikes_before,0.1930176335493808,20,recent_10,2022
te_balls_before__strikes_before_delta,0.5542724313218209,20,recent_10,2022
te_balls_before__strikes_before__game_type,1.2226214869420575,20,recent_10,2022
te_balls_before__strikes_before__game_type_delta,1.3787027896781636,20,recent_10,2022
te_pitcher_hand__batter_hand,0.0718602938536354,20,recent_10,2022
te_pitcher_hand__batter_hand_delta,0.0412420275186557,20,recent_10,2022
te_base_state__outs_before,0.3053794627567701,20,recent_10,2022
te_base_state__outs_before_delta,0.2150160796022319,20,recent_10,2022
asof_pitcher_success_minus_global,0.9150583851236308,20,recent_10,2022
asof_batter_success_minus_global,0.5384571949713138,20,recent_10,2022
pitcher_success_x_two_strike,0.2853554277269799,20,recent_10,2022
pitcher_success_x_runner_on,0.2862552337770558,20,recent_10,2022
pitcher_fastball_x_hitter_count,0.2560958174184705,20,recent_10,2022
season,1.3544113144304677,20,recent_20,2022
game_month,1.0412201040168212,20,recent_20,2022
game_dayofweek,0.0900712456053714,20,recent_20,2022
inning,0.1376842180849804,20,recent_20,2022
balls_before,0.4419791701122392,20,recent_20,2022
strikes_before,0.2026950690047649,20,recent_20,2022
outs_before,0.0717791024583424,20,recent_20,2022
run_top_before,0.2330993729964309,20,recent_20,2022
run_bot_before,0.094076960222739,20,recent_20,2022
run_total_before,0.2976448492966241,20,recent_20,2022
score_diff_home,0.1564199362260723,20,recent_20,2022
score_diff_pitcher_team,0.0948584247784969,20,recent_20,2022
runner_on_1b,0.0,20,recent_20,2022
