alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,baseline_auc,improvement_vs_recent_baseline,auc_delta_vs_recent_baseline
5,baseline,2019,2020,2021,2022,raw,0.5114727049981269,9.653876304626465,0.2490620908017605,0.6913031110776264,0.5324856858143385,0.5443147913690605,0.0569572053242537,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.00016457588643059573,0.0
5,baseline,2019,2020,2021,2022,platt,0.5114727049981269,9.653876304626465,0.2482117455743012,0.6895538848731501,0.5324856858143385,0.5348896027577381,0.0286243990453851,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.000685769341028708,0.0
5,baseline,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.653876304626465,0.2488975149153299,0.6909404035192446,0.5324856858143385,0.5173269294380297,0.0071560997613462,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0,0.0
5,recent_delta,2019,2020,2021,2022,raw,0.5114727049981269,8.423859596252441,0.249143416086478,0.6914646795991853,0.531850239770832,0.5449457793249468,0.0570433498556509,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.0002459011711480885,-0.0006354460435065157
5,recent_delta,2019,2020,2021,2022,platt,0.5114727049981269,8.423859596252441,0.2482419874561011,0.6896139386617008,0.531850239770832,0.535213489455169,0.0290173965551189,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0006555274592288107,-0.0006354460435065157
5,recent_delta,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.423859596252441,0.248897964105515,0.69094127123866,0.531850239770832,0.5174079011123874,0.0072543491387797,0.5289204435249241,0.2488975149153299,0.5324856858143385,-4.491901851033653e-07,-0.0006354460435065157
5,recent_20,2019,2020,2021,2022,raw,0.5114727049981269,8.10398244857788,0.2493931975800996,0.6919776611923656,0.5290381741149428,0.5444591301358614,0.0570675937637146,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.000495682664769681,-0.0034475116993957222
5,recent_20,2019,2020,2021,2022,platt,0.5114727049981269,8.10398244857788,0.2483724569280336,0.6898781504348079,0.5290381741149428,0.5347760372767137,0.0274622591217815,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0005250579872962957,-0.0034475116993957222
5,recent_20,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.10398244857788,0.2489509089443946,0.6910473750997848,0.5290381741149428,0.5172985380677736,0.0068655647804453,0.5289204435249241,0.2488975149153299,0.5324856858143385,-5.3394029064679494e-05,-0.0034475116993957222
5,recent_50,2019,2020,2021,2022,raw,0.5114727049981269,8.791953563690186,0.249004386197674,0.6911802756673823,0.5325914778926529,0.5431499773947627,0.0568481455682649,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.00010687128234410093,0.00010579207831440396
5,recent_50,2019,2020,2021,2022,platt,0.5114727049981269,8.791953563690186,0.2481991768695318,0.6895280743260728,0.5325914778926529,0.5344984275351776,0.0284386542976452,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0006983380457981081,0.00010579207831440396
5,recent_50,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.791953563690186,0.2488997664325336,0.6909449148933313,0.5325914778926529,0.5172291356323896,0.0071096635744113,0.5289204435249241,0.2488975149153299,0.5324856858143385,-2.2515172036774445e-06,0.00010579207831440396
5,recent_20_50_100,2019,2020,2021,2022,raw,0.5114727049981269,9.229087829589844,0.2490842436821026,0.6913493132262332,0.53269137235067,0.5456946617808263,0.0567372340144201,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.000186728766772698,0.00020568653633146194
5,recent_20_50_100,2019,2020,2021,2022,platt,0.5114727049981269,9.229087829589844,0.2482094654387473,0.6895492819439375,0.53269137235067,0.5352875860207941,0.0289386034913589,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0006880494765826028,0.00020568653633146194
5,recent_20_50_100,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.229087829589844,0.2488900291297988,0.690925408091296,0.53269137235067,0.5174264252537937,0.0072346508728397,0.5289204435249241,0.2488975149153299,0.5324856858143385,7.485785531113898e-06,0.00020568653633146194
5,best_candidate,2019,2020,2021,2022,raw,0.5114727049981269,8.869188070297241,0.2492921260300956,0.6917659759689367,0.5301873073819339,0.5455706801964362,0.0570599670043428,0.5289204435249241,0.2488975149153299,0.5324856858143385,-0.0003946111147656861,-0.0022983784324046574
5,best_candidate,2019,2020,2021,2022,platt,0.5114727049981269,8.869188070297241,0.2483115159104483,0.6897547259623618,0.5301873073819339,0.535241454081712,0.0275032582288654,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0005859990048815988,-0.0022983784324046574
