fold,train_start,train_end,cal_year,valid_year,ensemble,stage,weights,trend_prior,brier,logloss,auc,pred_mean,pred_std,pred_p01,pred_p05,pred_p25,pred_p50,pred_p75,pred_p95,pred_p99,actual_rate,current_brier,improvement_vs_current,weights_norm,ensemble_norm
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2518215995210475,0.6970337911001696,0.5166746952752842,0.5587548650029721,0.0635304892648924,0.3879328328930022,0.443886548525311,0.5203476730228449,0.5649816766479018,0.6027186013284822,0.6527360206708859,0.6920114971428564,0.5289204435249241,0.2491215469663941,-0.0027000525546533,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2488804749520976,0.6909050764007686,0.5166746952752842,0.5232932449993382,0.0158826223162231,0.4805877369718457,0.494576165879923,0.5136914470043064,0.5248499479105706,0.5342841790807158,0.5467885339163167,0.5566074030343093,0.5289204435249241,0.2491215469663941,0.0002410720142964,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_then_platt,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2488886515602106,0.6909215072513226,0.5166746952752842,0.5356120182655946,0.0196650093644124,0.4830257157425179,0.5004940900873271,0.5237278993343251,0.5373139597966232,0.5490016069001651,0.5650268708341931,0.5782711117147373,0.5289204435249241,0.2491215469663941,0.0002328954061835,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2491414204648821,0.691429131692514,0.5166746952752842,0.5175075333149939,0.0049162523411031,0.5043609576842247,0.508728051270427,0.5145365035821765,0.517933018697751,0.5208549304736365,0.5248612464571435,0.5281723066772795,0.5289204435249241,0.2491215469663941,-1.9873498487976704e-05,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,platt_avg,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2488877943889506,0.6909197769426212,0.5166804919084836,0.5355946177305262,0.0195209691992667,0.4833932690123955,0.5007312019909527,0.5237978080455397,0.5372843505501514,0.5488857430504371,0.5647885324728922,0.577959733020353,0.5289204435249241,0.2491215469663941,0.0002337525774435,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,platt_avg_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.2491424219456882,0.6914311385293557,0.5166804919084836,0.5175031831812267,0.0048802422998166,0.504452846001694,0.5087873292463333,0.5145539807599802,0.517925616386133,0.5208259645112044,0.5248016618668182,0.5280944620036835,0.5289204435249241,0.2491215469663941,-2.087497929409432e-05,"{'lightgbm': 0.9, 'sklearn_hgb': 0.1}","{'lightgbm': 0.9, 'sklearn_hgb': 0.1}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2518393106912876,0.6970736688581418,0.5168891461286068,0.5594206735822492,0.0635079570633646,0.3881511240665301,0.4443949330947915,0.5210947673921313,0.5656724217415341,0.6032734326503688,0.6534726859185698,0.6928417663855329,0.5289204435249241,0.2491215469663941,-0.0027177637248934,"{'lightgbm': 0.8, 'sklearn_hgb': 0.2}","{'lightgbm': 0.8, 'sklearn_hgb': 0.2}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2488735510107678,0.6908911913199756,0.5168891461286068,0.5234596971441575,0.0158769892658411,0.4806423097652277,0.494703262022293,0.5138782205966279,0.5250226341839788,0.5344228869111874,0.5469727002282376,0.5568149703449784,0.5289204435249241,0.2491215469663941,0.0002479959556263,"{'lightgbm': 0.8, 'sklearn_hgb': 0.2}","{'lightgbm': 0.8, 'sklearn_hgb': 0.2}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_then_platt,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2488848585252479,0.6909138954807025,0.5168891461286068,0.5357573078237349,0.0198164503965058,0.4826191435720015,0.5003116670873534,0.5237997074114178,0.537478419993511,0.5492198916747824,0.5654392897835631,0.5788323328993589,0.5289204435249241,0.2491215469663941,0.0002366884411461,"{'lightgbm': 0.8, 'sklearn_hgb': 0.2}","{'lightgbm': 0.8, 'sklearn_hgb': 0.2}"
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2491380319681938,0.6914223437190414,0.5168891461286068,0.5175438557045289,0.0049541125991264,0.5042593146415956,0.5086824455204335,0.5145544556014496,0.517974133746973,0.5209095016672907,0.5249643511944859,0.5283126119734349,0.5289204435249241,0.2491215469663941,-1.6485001799709798e-05,"{'lightgbm': 0.8, 'sklearn_hgb': 0.2}","{'lightgbm': 0.8, 'sklearn_hgb': 0.2}"
