ensemble_norm,stage,weights_norm,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_logloss,mean_auc,mean_pred_std
"{'catboost': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",0.24968750085821986,0.0005948713146521229,0.2501910588626615,3,3.696230004815448e-05,0.6925223814482006,0.515691901161944,0.007306231174297967
"{'catboost': 0.2, 'lightgbm': 0.7, 'xgboost': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.7, 'xgboost': 0.1}",0.2496875437985174,0.0005539339328890124,0.2501493655808343,3,3.691935975065157e-05,0.6925224474233848,0.5157047279039589,0.0070683753941720995
"{'lightgbm': 0.5, 'sklearn_hgb': 0.1, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'lightgbm': 0.5, 'sklearn_hgb': 0.1, 'xgboost': 0.4}",0.24968776982543028,0.0005677267192959228,0.250164925085259,3,3.669333283776166e-05,0.6925228975546142,0.5158655225683962,0.007064782480153666
"{'catboost': 0.1, 'lightgbm': 0.6, 'xgboost': 0.3}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.1, 'lightgbm': 0.6, 'xgboost': 0.3}",0.24968798794369085,0.0005584668453507183,0.2501557879365816,3,3.6475214577169623e-05,0.6925233572924067,0.5155255384444424,0.007210731552260132
"{'catboost': 0.3, 'lightgbm': 0.4, 'xgboost': 0.3}",raw_avg_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.4, 'xgboost': 0.3}",0.2496880468089366,0.000865020810663543,0.2502623946161015,1,3.641634933147063e-05,0.6925237042992225,0.5167511414162882,0.0154226199395631
"{'lightgbm': 0.1, 'sklearn_hgb': 0.4, 'xgboost': 0.5}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.1, 'sklearn_hgb': 0.4, 'xgboost': 0.5}",0.24968826471979713,0.0005893991811424415,0.250187453024309,3,3.6198438470885774e-05,0.692523906938936,0.515657670513041,0.0072606799737603665
"{'catboost': 0.3, 'lightgbm': 0.4, 'sklearn_hgb': 0.3}",platt_avg_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.4, 'sklearn_hgb': 0.3}",0.24968859362886844,0.0005666822449406037,0.2501629064451564,3,3.5869529399564413e-05,0.6925245454486516,0.5157097923938735,0.007063044614708334
"{'catboost': 0.6, 'sklearn_hgb': 0.4}",raw_avg_plus_trend_w075,"{'catboost': 0.6, 'sklearn_hgb': 0.4}",0.24968864782236988,0.0009012733871510581,0.250275541979262,1,3.581533589810637e-05,0.6925248728403476,0.5168768195797044,0.015589943441339899
"{'catboost': 0.4, 'sklearn_hgb': 0.6}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.4, 'sklearn_hgb': 0.6}",0.24968891575926022,0.0005885780091620787,0.2501851192556585,3,3.554739900778666e-05,0.6925252239939103,0.5154649355005706,0.007345746204793501
"{'lightgbm': 0.4, 'sklearn_hgb': 0.2, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'lightgbm': 0.4, 'sklearn_hgb': 0.2, 'xgboost': 0.4}",0.2496889331449046,0.0005715391104805707,0.2501704980001401,3,3.5530013363418066e-05,0.692525224589725,0.5158096990798201,0.007050915042231268
