model,stage,mean_brier,std_brier,worst_brier,folds_improved,mean_logloss,mean_auc,mean_pred_std,mean_train_seconds,mean_inference_seconds,mean_model_size_mb
catboost,platt_plus_trend_w075,0.24963184617967826,0.0006557172982873049,0.25015880346033137,3,0.6924109687774193,0.5195480238223708,0.008082855367933137,15.690285126368204,0.08945290247599284,0.2501843770345052
xgboost,platt_plus_trend_w075,0.24965398218228654,0.0006405761101470113,0.2501855325536294,3,0.6924552669106502,0.5184411004453019,0.007657522780299801,7.365037838617961,0.15792099634806314,0.30530770619710285
lightgbm,platt_plus_trend_w075,0.24971073522473972,0.0005130452231577782,0.2501459651960655,2,0.6925688717909088,0.5135050775649179,0.006799760069293804,10.636308828989664,0.8766496976216634,0.763909657796224
sklearn_hgb,platt_plus_trend_w075,0.24972446315826805,0.0005522599298718376,0.2502058103292603,0,0.6925963492680772,0.5126813617076005,0.006790246195595365,16.97155435880025,1.8297641277313232,0.843822161356608
xgboost,platt,0.25026797626152136,0.0021069439179159846,0.25250037896599825,1,0.6937583860647482,0.5184411004453019,0.030630091121199205,7.365037838617961,0.15792099634806314,0.30530770619710285
catboost,platt,0.2503006514690537,0.0022460969203765106,0.25267638406318943,1,0.6938352692449429,0.5195480238223708,0.032331421471732555,15.690285126368204,0.08945290247599284,0.2501843770345052
lightgbm,platt,0.2503577076290278,0.0016629742697935172,0.2521655682576867,1,0.6939262994361677,0.5135050775649179,0.027199040277175218,10.636308828989664,0.8766496976216634,0.763909657796224
sklearn_hgb,platt,0.2504152007133762,0.0017584718459594758,0.25233600891363844,1,0.6940426711027131,0.5126813617076005,0.02716098478238146,16.97155435880025,1.8297641277313232,0.843822161356608
xgboost,raw,0.2526895833587061,0.003034727771171103,0.25492526470566146,0,0.6989234468592146,0.5184411004453019,0.06000787766512938,7.365037838617961,0.15792099634806314,0.30530770619710285
catboost,raw,0.2528850386995168,0.0033881385189058907,0.2555164325408653,1,0.6993521187733833,0.5195480238223708,0.061581680808202845,15.690285126368204,0.08945290247599284,0.2501843770345052
lightgbm,raw,0.2538748506911464,0.0019279433142590147,0.2556354833229651,0,0.7014201886051876,0.5135050775649179,0.06491893701046253,10.636308828989664,0.8766496976216634,0.763909657796224
sklearn_hgb,raw,0.25421982525980963,0.0018424521865953373,0.25605369623086216,0,0.7021694392021064,0.5126813617076005,0.06621769987208388,16.97155435880025,1.8297641277313232,0.843822161356608
