fold,train_start,train_end,cal_year,valid_year,model,train_seconds,inference_seconds,model_size_mb
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb,10.10338020324707,1.4083857536315918,0.8437738418579102
2019-2020_cal2021_valid2022,2019,2020,2021,2022,lightgbm,4.862103223800659,0.6899750232696533,0.7613677978515625
2019-2020_cal2021_valid2022,2019,2020,2021,2022,catboost,7.774392604827881,0.07766985893249512,0.2502861022949219
2019-2020_cal2021_valid2022,2019,2020,2021,2022,xgboost,3.306659698486328,0.11767387390136719,0.3038606643676758
2019-2021_cal2022_valid2023,2019,2021,2022,2023,sklearn_hgb,16.794551849365234,1.948409080505371,0.8437891006469727
2019-2021_cal2022_valid2023,2019,2021,2022,2023,lightgbm,8.876431226730347,0.8586220741271973,0.7639226913452148
2019-2021_cal2022_valid2023,2019,2021,2022,2023,catboost,14.015484809875488,0.10001397132873535,0.2500801086425781
2019-2021_cal2022_valid2023,2019,2021,2022,2023,xgboost,6.437223196029663,0.15853047370910645,0.3057394027709961
2019-2022_cal2023_valid2024,2019,2022,2023,2024,sklearn_hgb,24.016731023788452,2.132497549057007,0.8439035415649414
2019-2022_cal2023_valid2024,2019,2022,2023,2024,lightgbm,18.17039203643799,1.0813519954681396,0.7664384841918945
2019-2022_cal2023_valid2024,2019,2022,2023,2024,catboost,25.280977964401245,0.09067487716674805,0.2501869201660156
2019-2022_cal2023_valid2024,2019,2022,2023,2024,xgboost,12.35123062133789,0.19755864143371582,0.3063230514526367
