fold,train_start,train_end,cal_year,valid_year,ensemble,stage,weights,trend_prior,brier,logloss,auc,pred_mean,pred_std,pred_p01,pred_p05,pred_p25,pred_p50,pred_p75,pred_p95,pred_p99,actual_rate,current_brier,improvement_vs_current
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.25182159952104755,0.6970337911001696,0.5166746952752842,0.5587548650029721,0.06353048926489241,0.3879328328930022,0.44388654852531106,0.5203476730228449,0.5649816766479018,0.6027186013284822,0.6527360206708859,0.6920114971428564,0.5289204435249241,0.24912154696639416,-0.002700052554653387
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.24888047495209767,0.6909050764007686,0.5166746952752842,0.5232932449993382,0.015882622316223102,0.4805877369718457,0.494576165879923,0.5136914470043064,0.5248499479105706,0.5342841790807158,0.5467885339163167,0.5566074030343093,0.5289204435249241,0.24912154696639416,0.0002410720142964895
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_then_platt,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.24888865156021062,0.6909215072513226,0.5166746952752842,0.5356120182655946,0.019665009364412425,0.48302571574251796,0.5004940900873271,0.5237278993343251,0.5373139597966232,0.5490016069001651,0.5650268708341931,0.5782711117147373,0.5289204435249241,0.24912154696639416,0.00023289540618354199
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.24914142046488214,0.691429131692514,0.5166746952752842,0.5175075333149939,0.004916252341103106,0.5043609576842247,0.508728051270427,0.5145365035821765,0.517933018697751,0.5208549304736365,0.5248612464571435,0.5281723066772795,0.5289204435249241,0.24912154696639416,-1.9873498487976704e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,platt_avg,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.24888779438895064,0.6909197769426212,0.5166804919084836,0.5355946177305262,0.01952096919926677,0.4833932690123955,0.5007312019909527,0.5237978080455397,0.5372843505501514,0.5488857430504371,0.5647885324728922,0.577959733020353,0.5289204435249241,0.24912154696639416,0.0002337525774435134
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.1+lightgbm:0.9,platt_avg_plus_trend_w075,"{'sklearn_hgb': 0.1, 'lightgbm': 0.9}",0.5114727049981269,0.24914242194568825,0.6914311385293557,0.5166804919084836,0.5175031831812267,0.004880242299816692,0.504452846001694,0.5087873292463333,0.5145539807599802,0.517925616386133,0.5208259645112044,0.5248016618668182,0.5280944620036835,0.5289204435249241,0.24912154696639416,-2.087497929409432e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2518393106912876,0.6970736688581418,0.5168891461286068,0.5594206735822492,0.06350795706336466,0.38815112406653013,0.4443949330947915,0.5210947673921313,0.5656724217415341,0.6032734326503688,0.6534726859185698,0.6928417663855329,0.5289204435249241,0.24912154696639416,-0.0027177637248934627
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.24887355101076786,0.6908911913199756,0.5168891461286068,0.5234596971441575,0.015876989265841166,0.4806423097652277,0.49470326202229303,0.5138782205966279,0.5250226341839788,0.5344228869111874,0.5469727002282376,0.5568149703449784,0.5289204435249241,0.24912154696639416,0.00024799595562630117
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_then_platt,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.24888485852524797,0.6909138954807025,0.5168891461286068,0.5357573078237349,0.019816450396505855,0.48261914357200153,0.5003116670873534,0.5237997074114178,0.537478419993511,0.5492198916747824,0.5654392897835631,0.5788323328993589,0.5289204435249241,0.24912154696639416,0.0002366884411461878
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.24913803196819387,0.6914223437190414,0.5168891461286068,0.5175438557045289,0.004954112599126464,0.5042593146415956,0.5086824455204335,0.5145544556014496,0.517974133746973,0.5209095016672907,0.5249643511944859,0.5283126119734349,0.5289204435249241,0.24912154696639416,-1.6485001799709798e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,platt_avg,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2488833755443825,0.6909109009733176,0.51689867882569,0.5357246317948835,0.019560498596864307,0.4832734327598479,0.5007394322856983,0.5239223797500944,0.5374177169451607,0.5490074801379541,0.5650310449543623,0.5782766215411091,0.5289204435249241,0.24912154696639416,0.00023817142201165709
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.2+lightgbm:0.8,platt_avg_plus_trend_w075,"{'sklearn_hgb': 0.2, 'lightgbm': 0.8}",0.5114727049981269,0.2491398483321028,0.6914259834733743,0.51689867882569,0.517535686697316,0.004890124649216077,0.5044228869385572,0.5087893868200197,0.5145851236861188,0.5179589579848853,0.5208563987830837,0.5248622899871858,0.5281736841338724,0.5289204435249241,0.24912154696639416,-1.8301365708628392e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,raw_avg,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.25186779714099095,0.6971366933158358,0.5170901423680041,0.5600864821615263,0.06356325063920576,0.38851127224641696,0.4448635761675484,0.5217492013716375,0.5663947955303434,0.6038562558164304,0.6543717179324309,0.6940275716539095,0.5289204435249241,0.24912154696639416,-0.002746250174596787
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.24886730052440453,0.6908786547067544,0.5170901423680041,0.5236261492889768,0.015890812659801436,0.4807323468101994,0.4948204227904823,0.5140418290915045,0.5252032276311811,0.5345685927027028,0.547197458231703,0.5571114216620725,0.5289204435249241,0.24912154696639416,0.0002542464419896251
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,raw_avg_then_platt,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.24888188589395652,0.6909079391043064,0.5170901423680041,0.5358997604319634,0.01996065275427798,0.4823409211090013,0.5001713331388017,0.5238595585988063,0.5376463961950567,0.549420836515438,0.5658541638470057,0.5794462454428448,0.5289204435249241,0.24912154696639416,0.00023966107243764134
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.24913491223759038,0.6914160938937175,0.5170901423680041,0.517579468856586,0.004990163188569495,0.5041897590258455,0.5086473620332955,0.5145694183982967,0.5180161277973594,0.5209597378774546,0.5250680697103466,0.5284660901093063,0.5289204435249241,0.24912154696639416,-1.3365271196219553e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,platt_avg,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.24887997338558104,0.6909040758340694,0.5171017725297541,0.5358546458592407,0.01962500575006338,0.48321484821567573,0.5007227445035273,0.524018792745427,0.5375761438713725,0.549141232363444,0.5653143097039336,0.5786699563057195,0.5289204435249241,0.24912154696639416,0.00024157358081311475
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.3+lightgbm:0.7,platt_avg_plus_trend_w075,"{'sklearn_hgb': 0.3, 'lightgbm': 0.7}",0.5114727049981269,0.24913733826137774,0.6914209553328334,0.5171017725297541,0.5175681902134054,0.004906251437515845,0.5044082408025141,0.508785214874477,0.5146092269349519,0.5179985647164383,0.5208898368394562,0.5249331061745786,0.5282720178250251,0.5289204435249241,0.24912154696639416,-1.579129498358034e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.4+lightgbm:0.6,raw_avg,"{'sklearn_hgb': 0.4, 'lightgbm': 0.6}",0.5114727049981269,0.2519070588701575,0.6972229602920739,0.5172760457219268,0.5607522907408037,0.06369616731497722,0.3887455209534494,0.4451097552337477,0.5223676129141498,0.5670893385041883,0.6044576065144905,0.6553280747884732,0.6949320929744163,0.5289204435249241,0.24912154696639416,-0.0027855119037633602
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.4+lightgbm:0.6,raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.4, 'lightgbm': 0.6}",0.5114727049981269,0.2488617234930076,0.6908674669172129,0.5172760457219268,0.523792601433796,0.015924041828744306,0.48079090898695753,0.4948819675570321,0.5141964319771326,0.5253768633746423,0.5347189303772178,0.5474365474457135,0.5573375519921993,0.5289204435249241,0.24912154696639416,0.00025982347338654455
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.4+lightgbm:0.6,raw_avg_then_platt,"{'sklearn_hgb': 0.4, 'lightgbm': 0.6}",0.5114727049981269,0.248879757684445,0.6909036876008087,0.5172760457219268,0.5360386844678533,0.02009736177915266,0.4821063615625517,0.5000164555459722,0.5239240743572656,0.5377986143125597,0.5496005466503376,0.5662352910666723,0.5798867270858956,0.5289204435249241,0.24912154696639416,0.00024178928194915073
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.4+lightgbm:0.6,raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.4, 'lightgbm': 0.6}",0.5114727049981269,0.24913207719729163,0.6914104141275814,0.5172760457219268,0.5176141998655586,0.005024340444788165,0.5041311191392331,0.5086086426350883,0.5145855473379115,0.5180541823267351,0.5210046654111796,0.5251633515152632,0.5285762105200691,0.5289204435249241,0.24912154696639416,-1.05302308974764e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb:0.4+lightgbm:0.6,platt_avg,"{'sklearn_hgb': 0.4, 'lightgbm': 0.6}",0.5114727049981269,0.24887758791254633,0.690899302723669,0.517288389150109,0.5359846599235982,0.019714245470597972,0.48310583234667137,0.5006584058900602,0.5240969747044865,0.5377081733320842,0.5492799616145883,0.5656096817731819,0.579026187466204,0.5289204435249241,0.24912154696639416,0.0002439590538478309
