fold,train_start,train_end,cal_year,valid_year,model,stage,trend_prior,brier,logloss,auc,pred_mean,pred_std,pred_p01,pred_p05,pred_p25,pred_p50,pred_p75,pred_p95,pred_p99,actual_rate,train_seconds,inference_seconds,model_size_mb,current_brier,improvement_vs_current
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb,raw,0.5114727049981269,0.25236891011388485,0.6982360543908525,0.5180552143945217,0.564747142216467,0.0660783878996609,0.3880924906884483,0.4450786492862521,0.525405503988679,0.5709015499298524,0.6089022066957119,0.6650661072519093,0.7061736328799721,0.5289204435249241,10.10338020324707,1.4083857536315918,0.8437738418579102,0.24912154696639416,-0.0032473631474906894
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb,platt,0.5114727049981269,0.24888462547543985,0.6909138376430902,0.5180552143945217,0.5367647443097421,0.02074501541805502,0.48178985488829584,0.4997512057057552,0.5244004897626274,0.5384142446629553,0.5503491159537759,0.5687023567991291,0.5829785719665955,0.5289204435249241,10.10338020324707,1.4083857536315918,0.8437738418579102,0.24912154696639416,0.00023692149095430604
2019-2020_cal2021_valid2022,2019,2020,2021,2022,sklearn_hgb,platt_plus_trend_w075,0.5114727049981269,0.24912154696639416,0.6913893124636288,0.5180552143945217,0.5177957148260307,0.005186253854513755,0.5040519924706691,0.508542330175034,0.514704651189252,0.518208089914334,0.5211918077370392,0.5257801179483774,0.5293491717402441,0.5289204435249241,10.10338020324707,1.4083857536315918,0.8437738418579102,0.24912154696639416,0.0
2019-2020_cal2021_valid2022,2019,2020,2021,2022,lightgbm,raw,0.5114727049981269,0.2518146636302707,0.6970169795523476,0.516445506629666,0.5580890564236948,0.0636307645675094,0.3873634096019544,0.4432566244377354,0.5195192824714032,0.564157082193008,0.6022588134444935,0.652223675979735,0.6915346405961382,0.5289204435249241,4.862103223800659,0.6899750232696533,0.7613677978515625,0.24912154696639416,-0.0026931166638765602
2019-2020_cal2021_valid2022,2019,2020,2021,2022,lightgbm,platt,0.5114727049981269,0.24889322991928556,0.690930702652125,0.516445506629666,0.5354646036661689,0.01950656940757126,0.4834014922682706,0.5006928509672159,0.5236485195323755,0.5371034189687861,0.5487878155923024,0.5646379876454896,0.5777616250703582,0.5289204435249241,4.862103223800659,0.6899750232696533,0.7613677978515625,0.24912154696639416,0.00022831704710860046
2019-2020_cal2021_valid2022,2019,2020,2021,2022,lightgbm,platt_plus_trend_w075,0.5114727049981269,0.24914505910213414,0.6914364204960533,0.516445506629666,0.5174706796651374,0.004876642351892815,0.5044549018156629,0.5087777414903992,0.514516658631689,0.5178803834907917,0.5208014826466708,0.5247640256599676,0.5280449350161848,0.5289204435249241,4.862103223800659,0.6899750232696533,0.7613677978515625,0.24912154696639416,-2.3512135739978124e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,catboost,raw,0.5114727049981269,0.24906209080176053,0.6913031110776264,0.5324856858143385,0.5443147913690605,0.05695720532425376,0.39927146567435823,0.444194119286861,0.5106985751411853,0.5476871082507377,0.5787110074124358,0.6367552717600004,0.67443271836106,0.5289204435249241,7.774392604827881,0.07766985893249512,0.2502861022949219,0.24912154696639416,5.9456164633625574e-05
2019-2020_cal2021_valid2022,2019,2020,2021,2022,catboost,platt,0.5114727049981269,0.24821174557430123,0.6895538848731501,0.5324856858143385,0.5348896027577381,0.02862439904538513,0.46219723090483805,0.484976742595111,0.5180506704787671,0.536402415167002,0.5519144815319398,0.5815855287280611,0.6015849146759588,0.5289204435249241,7.774392604827881,0.07766985893249512,0.2502861022949219,0.24912154696639416,0.0009098013920929293
2019-2020_cal2021_valid2022,2019,2020,2021,2022,catboost,platt_plus_trend_w075,0.5114727049981269,0.2488975149153299,0.6909404035192446,0.5324856858143385,0.5173269294380297,0.007156099761346282,0.4991538364748047,0.5048487143973729,0.513117196368287,0.5177051325403457,0.5215831491315801,0.5290009109306104,0.5340007574175849,0.5289204435249241,7.774392604827881,0.07766985893249512,0.2502861022949219,0.24912154696639416,0.00022403205106424906
2019-2020_cal2021_valid2022,2019,2020,2021,2022,xgboost,raw,0.5114727049981269,0.24923489238380253,0.6916592289899849,0.5304554181654619,0.5437550825556581,0.05690646983565577,0.39378251522779467,0.442507928609848,0.510671854019165,0.5478172302246094,0.5776020288467407,0.6349914014339447,0.6710328459739685,0.5289204435249241,3.306659698486328,0.11767387390136719,0.3038606643676758,0.24912154696639416,-0.00011334541740837256
2019-2020_cal2021_valid2022,2019,2020,2021,2022,xgboost,platt,0.5114727049981269,0.24831422115158952,0.6897625183234798,0.5304554181654619,0.5347003167591196,0.02689878350575583,0.4639274498874351,0.4872328741744387,0.519122662159167,0.536454157395365,0.5504604764812666,0.5780527570900058,0.5960417419520811,0.5289204435249241,3.306659698486328,0.11767387390136719,0.3038606643676758,0.24912154696639416,0.000807325814804638
2019-2020_cal2021_valid2022,2019,2020,2021,2022,xgboost,platt_plus_trend_w075,0.5114727049981269,0.24894275396324908,0.6910311223336563,0.5304554181654619,0.5172796079383751,0.006724695876438957,0.49958639122045395,0.5054127472922049,0.513385194288387,0.5177180680974364,0.5212196478689118,0.5281177180210966,0.5326149642366155,0.5289204435249241,3.306659698486328,0.11767387390136719,0.3038606643676758,0.24912154696639416,0.00017879300314507796
2019-2021_cal2022_valid2023,2019,2021,2022,2023,sklearn_hgb,raw,0.5129662444084708,0.2542368694346819,0.7021798832570163,0.5122960420078211,0.5387933677062605,0.06342506976829212,0.3881530971313828,0.4352629464516743,0.5033331726740444,0.5391141672463413,0.5685910021817757,0.6501111185725827,0.7283281976866764,0.49995723449750534,16.794551849365234,1.948409080505371,0.8437891006469727,0.2502058103292603,-0.004031059105421564
2019-2021_cal2022_valid2023,2019,2021,2022,2023,sklearn_hgb,platt,0.5129662444084708,0.25233600891363844,0.6980165787350958,0.5122960420078211,0.530580405031529,0.04882309748035343,0.4154874787638981,0.45170745062590256,0.5034270675443612,0.5305697315374339,0.5530188976051436,0.6161343627569569,0.6794092709659589,0.49995723449750534,16.794551849365234,1.948409080505371,0.8437891006469727,0.2502058103292603,-0.002130198584378129
2019-2021_cal2022_valid2023,2019,2021,2022,2023,sklearn_hgb,platt_plus_trend_w075,0.5129662444084708,0.2502058103292603,0.6935605260486172,0.5122960420078211,0.5173697845642353,0.012205774370088358,0.4885965529973276,0.49765154596282873,0.5105814501924434,0.5173671161907116,0.5229794077076391,0.5387582739955924,0.5545770010478429,0.49995723449750534,16.794551849365234,1.948409080505371,0.8437891006469727,0.2502058103292603,0.0
